Sample Year, Fish Length (mm)
2000,425
2000,429
2000,452
2000,460
2000,485
2000,400
2000,467
2000,475
2000,470
2000,407
2000,483
2000,442
2000,460
2000,435
2000,476
2001,416
2001,445
2001,412
2001,500
2001,490
2001,427
2001,401
2001,470
2001,437
2001,452
2001,462
2001,495
2001,420
2001,460
2001,482
2002,430
2002,435
2002,456
2002,465
2002,490
2002,452
2002,437
2002,441
2002,448
2002,493
2002,465
2002,476
2002,478
2002,460
2002,458
2005,231
2005,432
2005,421
2005,432
2005,479
2005,502
2005,461
2005,400
2005,432
2005,447
2005,457
2005,425
2005,471
2005,473
2005,460
2005,476
2006,478
2006,466
2006,473
2006,505
2006,465
2006,461
2006,490
2006,450
2006,447
2006,478
2006,471
2006,421
2006,415
2006,421
2006,367
2007,504
2007,551
2007,525
2007,455
2007,362
2007,492
2007,496
2007,455
2007,488
2007,473
2007,445
2007,432
2007,508
2007,436
2007,444
2008,467
2008,484
2008,500
2008,490
2008,547
2008,440
2008,504
2008,424
2008,416
2008,446
2009,473
2009,505
2009,490
2009,510
2009,424
2009,478
2009,431
2009,479
2009,485
2009,457
2010,549
2010,485
2010,445
2010,512
2010,542
2010,495
2010,470
2010,544
2010,460
2010,531
2011,480
2011,360
2011,460
2011,465
2011,490
2011,450
2011,480
2011,500
2011,460
2011,640
2012,478
2012,527
2012,572
2012,444
2012,518
2012,530
2012,489
2012,528
2012,521
2012,486
2013,490
2013,522
2013,515
2013,491
2013,582
2013,640
2013,543
2013,555
2013,525
2013,516
2014,533
2014,550
2014,594
2014,480
2014,489
2014,533
2014,609
2014,500
2014,513
2014,494
2014,571
2014,474
2014,544
2015,537
2015,508
2015,474
2015,534
2015,570
2015,562
2015,496
2015,516
2015,547
2015,515
2015,504
2015,499
2015,534
2015,515
2015,563
